,tinh,project,link,kind,location,price
0,tai-quang-binh,Regal Residence Luxury: Dự án căn hộ tại Quảng Bình,https://cafeland.vn/du-an/regal-residence-luxury-du-an-can-ho-tai-quang-binh-4339.html,Căn hộ chung cư,"Địa chỉ: TP. Đồng Hới, Quảng Bình",Địa chỉ:
1,tai-quang-binh,DIC Star Hotels &amp; Resorts – Sân golf: Dự án khu phức hợp tại Quảng Bình,https://cafeland.vn/du-an/dic-star-hotels-amp-resorts-san-golf-du-an-khu-phuc-hop-tai-quang-binh-3977.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Huyện Quảng Ninh, Quảng Bình",Địa chỉ:
2,tai-quang-binh,Royal Landmark: Dự án tổ hợp condotel và shophouse tại Quảng Bình,https://cafeland.vn/du-an/royal-landmark-du-an-to-hop-condotel-va-shophouse-tai-quang-binh-3946.html,Căn hộ chung cư,"Địa chỉ: đường Hương Giang, TP. Đồng Hới, Quảng Bình",Địa chỉ:
3,tai-quang-binh,Regal Residence Premium: Dự án căn hộ tại Quảng Bình,https://cafeland.vn/du-an/regal-residence-premium-du-an-can-ho-tai-quang-binh-3920.html,Căn hộ chung cư,"Địa chỉ: đường Võ Nguyên Giáp, TP. Đồng Hới, Quảng Bình","Giá thấp nhất: 2,64 tỷ"
4,tai-quang-binh,Emerald Beach City: Dự án đất nền tại Quảng Bình,https://cafeland.vn/du-an/emerald-beach-city-du-an-dat-nen-tai-quang-binh-3874.html,Đất Nền Dự Án,"Địa chỉ: Quốc lộ 1A, Bố Trạch, Quảng Bình","Giá thấp nhất: 1,58 tỷ"
5,tai-quang-binh,Seashine Bảo Ninh: Dự án đất nền tại Quảng Bình,https://cafeland.vn/du-an/seashine-bao-ninh-du-an-dat-nen-tai-quang-binh-3661.html,Đất Nền Dự Án,"Địa chỉ: thôn Hà Thiệp, Huyện Quảng Ninh, Quảng Bình",Địa chỉ:
6,tai-quang-binh,Seoul Village: Dự án tại Quảng Bình,https://cafeland.vn/du-an/seoul-village-du-an-tai-quang-binh-3431.html,Khu Đô Thị,"Địa chỉ: đường ven biển 48 m, Bố Trạch, Quảng Bình","Giá thấp nhất: 3,22 tỷ"
7,tai-quang-binh,Phân khu La Diva The Show Quảng Bình,https://cafeland.vn/du-an/phan-khu-la-diva-the-show-quang-binh-3281.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: xã Hải Ninh và xã Hồng Thủy, Huyện Quảng Ninh, Quảng Bình",Địa chỉ:
8,tai-quang-binh,Dự án TNR Starts Đồng Hới Quảng Bình,https://cafeland.vn/du-an/du-an-tnr-starts-dong-hoi-quang-binh-3260.html,Khu Đô Thị,"Địa chỉ: đường Lý Thường Kiệt, TP. Đồng Hới, Quảng Bình","Giá thấp nhất: 2,67 tỷ"
9,tai-quang-binh,Dự án La Mer Quảng Bình,https://cafeland.vn/du-an/du-an-la-mer-quang-binh-3207.html,Nhà Phố - Biệt Thự,"Địa chỉ: Đường Mỹ Cảnh, TP. Đồng Hới, Quảng Bình","Giá thấp nhất: 10,96 tỷ"
