,tinh,project,link,kind,location,price
0,tai-binh-thuan,Mer Vista Casilla: Phân khu căn hộ tại Thanh Long Bay,https://cafeland.vn/du-an/mer-vista-casilla-phan-khu-can-ho-tai-thanh-long-bay-4056.html,Căn hộ chung cư,"Địa chỉ: Đường DT179B, Hàm Thuận Nam, Bình Thuận","Giá thấp nhất: 4,13 tỷ"
1,tai-binh-thuan,Louis Seaview: Dự án khu nghỉ dưỡng tại Bình Thuận,https://cafeland.vn/du-an/louis-seaview-du-an-khu-nghi-duong-tai-binh-thuan-3996.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: đường Võ THị Sáu, TX. La Gi, Bình Thuận",Địa chỉ:
2,tai-binh-thuan,The Venice 5&6: Dự án căn hộ tại Khu du lịch sinh thái biển Venezia Beach,https://cafeland.vn/du-an/the-venice-56-du-an-can-ho-tai-khu-du-lich-sinh-thai-bien-venezia-beach-3867.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: đường ven biển Hồ Tràm - Bình Châu, Hàm Tân, Bình Thuận",Địa chỉ:
3,tai-binh-thuan,Căn hộ Casilla – Phân khu thuộc đô thị nghỉ dưỡng – giải trí - du lịch Thanh Long Bay,https://cafeland.vn/du-an/can-ho-casilla-phan-khu-thuoc-do-thi-nghi-duong-giai-tri-du-lich-thanh-long-bay-3779.html,Căn hộ chung cư,"Địa chỉ: đường 42, đại lộ Thanh Long Bay, mũi Kê Gà, Hàm Thuận Nam, Bình Thuận","Giá thấp nhất: 1,92 tỷ"
4,tai-binh-thuan,PGA Golf Villas: Phân khu biệt thự tại Novaworld Phan Thiết,https://cafeland.vn/du-an/pga-golf-villas-phan-khu-biet-thu-tai-novaworld-phan-thiet-3687.html,Nhà Phố - Biệt Thự,"Địa chỉ: Đường Lạc Long Quân, TP.Phan Thiết, Bình Thuận","Giá thấp nhất: 13,50 tỷ"
5,tai-binh-thuan,Đông Tân Thiện: Dự án khu đô thị tại tỉnh Bình Thuận,https://cafeland.vn/du-an/dong-tan-thien-du-an-khu-do-thi-tai-tinh-binh-thuan-3682.html,Khu Đô Thị,"Địa chỉ: Đường N2 và Nguyễn Trường Tộ, TX. La Gi, Bình Thuận","Giá thấp nhất: 2,70 tỷ"
6,tai-binh-thuan,Sơn Mỹ 1: Dự án khu công nghiệp tại tỉnh Bình Thuận,https://cafeland.vn/du-an/son-my-1-du-an-khu-cong-nghiep-tai-tinh-binh-thuan-3657.html,Khu công nghiệp,"Địa chỉ: Thôn 3, Hàm Tân, Bình Thuận",Địa chỉ:
7,tai-binh-thuan,Monaco Wellness: Phân khu biệt thự dự án Novaworld Phan Thiết,https://cafeland.vn/du-an/monaco-wellness-phan-khu-biet-thu-du-an-novaworld-phan-thiet-3633.html,Nhà Phố - Biệt Thự,"Địa chỉ: Nằm trong dự án Novaworld Phan Thiết, đường Lạc Long Quân, TP.Phan Thiết, Bình Thuận",Địa chỉ:
8,tai-binh-thuan,Khu dân cư Nam Hà: Dự án tại tỉnh Bình Thuận,https://cafeland.vn/du-an/khu-dan-cu-nam-ha-du-an-tai-tinh-binh-thuan-3622.html,Khu Đô Thị,"Địa chỉ: Đường Z30A, xã Đông Hà, Đức Linh, Bình Thuận","Giá thấp nhất: 1,32 tỷ"
9,tai-binh-thuan,Olympic: Phân khu dự án Novaworld Phan Thiết,https://cafeland.vn/du-an/olympic-phan-khu-du-an-novaworld-phan-thiet-3617.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Đại lộ danh vọng, TP.Phan Thiết, Bình Thuận","Giá thấp nhất: 11,91 tỷ"
10,tai-binh-thuan,Nam An Eco town: Dự án khu dân cư tại tỉnh Bình Thuận,https://cafeland.vn/du-an/nam-an-eco-town-du-an-khu-dan-cu-tai-tinh-binh-thuan-3614.html,Khu Đô Thị,"Địa chỉ: Xã Hàm Thắng, Hàm Thuận Bắc, Bình Thuận",Giá thấp nhất: 990 triệu
11,tai-binh-thuan,Marina City Mũi Né: Dự án khu phức hợp tại Phan Thiết,https://cafeland.vn/du-an/marina-city-mui-ne-du-an-khu-phuc-hop-tai-phan-thiet-3482.html,Khu Đô Thị,"Địa chỉ: Đường ĐT 716, TP.Phan Thiết, Bình Thuận",Địa chỉ:
12,tai-binh-thuan,Waikiki: Phân Khu tại dự án Novaworld Phan Thiết,https://cafeland.vn/du-an/waikiki-phan-khu-tai-du-an-novaworld-phan-thiet-3452.html,Nhà Phố - Biệt Thự,"Địa chỉ: dự án Novaworld Phan Thiết, TP.Phan Thiết, Bình Thuận","Giá thấp nhất: 16,30 tỷ"
13,tai-binh-thuan,Dự án phân khu Star Avenue – Novaworld Phan Thiết,https://cafeland.vn/du-an/du-an-phan-khu-star-avenue-novaworld-phan-thiet-3353.html,Khu Đô Thị,"Địa chỉ: Đại lộ Danh Vọng, TP.Phan Thiết, Bình Thuận",Địa chỉ:
14,tai-binh-thuan,Khu nghỉ dưỡng kết hợp khu dân cư De Lagi Bình Thuận,https://cafeland.vn/du-an/khu-nghi-duong-ket-hop-khu-dan-cu-de-lagi-binh-thuan-3356.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: bãi biển Cam Bình, đường Lê Minh Công, TX. La Gi, Bình Thuận",Địa chỉ:
15,tai-binh-thuan,Phân khu Ocean Residence - Novaworld Phan Thiết,https://cafeland.vn/du-an/phan-khu-ocean-residence-novaworld-phan-thiet-3310.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: đường Lạc Long Quân, TP.Phan Thiết, Bình Thuận",Địa chỉ:
16,tai-binh-thuan,Phân khu The Sea – Thanh Long Bay Bình Thuận,https://cafeland.vn/du-an/phan-khu-the-sea-thanh-long-bay-binh-thuan-3298.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: đường ĐT.719B, Hàm Thuận Nam, Bình Thuận","Giá thấp nhất: 8,42 tỷ"
17,tai-binh-thuan,Dự án phân khu The Kingdom - Novaland Phan Thiết,https://cafeland.vn/du-an/du-an-phan-khu-the-kingdom-novaland-phan-thiet-3290.html,Nhà Phố - Biệt Thự,"Địa chỉ: khu đô thị Novaland Phan Thiết, TP.Phan Thiết, Bình Thuận",Địa chỉ:
18,tai-binh-thuan,Phân khu Novaworld Center Phan Thiết,https://cafeland.vn/du-an/phan-khu-novaworld-center-phan-thiet-3268.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: đường Lạc Long Quân, TP.Phan Thiết, Bình Thuận","Giá thấp nhất: 5,98 tỷ"
