,tinh,project,link,kind,location,price
0,tai-kien-giang,The Lagom: Dự án biệt thự nghỉ dưỡng tại Phú Quốc,https://cafeland.vn/du-an/the-lagom-du-an-biet-thu-nghi-duong-tai-phu-quoc-4358.html,Nhà Phố - Biệt Thự,"Địa chỉ: Khu phức hợp du lịch Sonasea tại Bãi Trường, TP. Phú Quốc, Kiên Giang",Địa chỉ:
1,tai-kien-giang,Khu du lịch sinh thái Vũng Bầu tại TP.Phú Quốc,https://cafeland.vn/du-an/khu-du-lich-sinh-thai-vung-bau-tai-tpphu-quoc-4347.html,Khu Đô Thị,"Địa chỉ: TP. Phú Quốc, Kiên Giang",Địa chỉ:
2,tai-kien-giang,"Forest Bay: Dự án khu du lịch sinh thái, dân cư tại Phú Quốc",https://cafeland.vn/du-an/forest-bay-du-an-khu-du-lich-sinh-thai-dan-cu-tai-phu-quoc-4247.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Ấp Rạch Tràm, TP. Phú Quốc, Kiên Giang",Địa chỉ:
3,tai-kien-giang,Meypearl Harmony: Dự án khu căn hộ cao cấp tại Phú Quốc,https://cafeland.vn/du-an/meypearl-harmony-du-an-khu-can-ho-cao-cap-tai-phu-quoc-4220.html,Căn hộ chung cư,"Địa chỉ: Bãi Trường, TP. Phú Quốc, Kiên Giang",Địa chỉ:
4,tai-kien-giang,Residence Hill: Dự án khu phức hợp thương mại – căn hộ cao cấp tại Kiên Giang,https://cafeland.vn/du-an/residence-hill-du-an-khu-phuc-hop-thuong-mai-can-ho-cao-cap-tai-kien-giang-4169.html,Căn hộ chung cư,"Địa chỉ: đường Trần Hưng Đạo, TP. Phú Quốc, Kiên Giang",Địa chỉ:
5,tai-kien-giang,Tuyến dân cư Đường số 2 tại Kiên Giang,https://cafeland.vn/du-an/tuyen-dan-cu-duong-so-2-tai-kien-giang-4168.html,Khu Đô Thị,"Địa chỉ: khu phố Nguyễn Thái Bình và khu phố Nguyễn Bỉnh Khiêm, TP. Rạch Giá, Kiên Giang",Địa chỉ:
6,tai-kien-giang,Nhà ở xã hội Khu đô thị Tây Bắc tại Kiên Giang,https://cafeland.vn/du-an/nha-o-xa-hoi-khu-do-thi-tay-bac-tai-kien-giang-4167.html,Khu Đô Thị,"Địa chỉ: đường 3/2, thuộc Khu đô thị mới lấn biển Tây Bắc, TP. Rạch Giá, Kiên Giang",Địa chỉ:
7,tai-kien-giang,Meliá Vinpearl Phú Quốc: Dự án khu biệt thự nghỉ dưỡng tại Phú Quốc,https://cafeland.vn/du-an/melia-vinpearl-phu-quoc-du-an-khu-biet-thu-nghi-duong-tai-phu-quoc-4164.html,Nhà Phố - Biệt Thự,"Địa chỉ: đường ĐT45, TP. Phú Quốc, Kiên Giang",Địa chỉ:
8,tai-kien-giang,The 5Way Phú Quốc: Tổ hợp căn hộ tại Grand World Phú Quốc,https://cafeland.vn/du-an/the-5way-phu-quoc-to-hop-can-ho-tai-grand-world-phu-quoc-4163.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Khu đô thị Grand World Phú Quốc, đường ĐT45, TP. Phú Quốc, Kiên Giang","Giá thấp nhất: 1,50 tỷ"
9,tai-kien-giang,Minh Lương: Dự án khu đô thị chợ mới &amp; TTTM tại Kiên Giang,https://cafeland.vn/du-an/minh-luong-du-an-khu-do-thi-cho-moi-amp-tttm-tai-kien-giang-4105.html,Đất Nền Dự Án,"Địa chỉ: Quốc lộ 63, Châu Thành, Kiên Giang",Giá thấp nhất: 900 triệu
10,tai-kien-giang,Rivera Villas: Dự án khu biệt thự tại Phú Quốc,https://cafeland.vn/du-an/rivera-villas-du-an-khu-biet-thu-tai-phu-quoc-4074.html,Nhà Phố - Biệt Thự,"Địa chỉ: đường Nguyễn Chí Thanh, TP. Phú Quốc, Kiên Giang",Địa chỉ:
11,tai-kien-giang,Sunset Town: Dự án tổ hợp tại Phú Quốc,https://cafeland.vn/du-an/sunset-town-du-an-to-hop-tai-phu-quoc-4028.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: bờ Tây Nam của Phú Quốc, TP. Phú Quốc, Kiên Giang",Địa chỉ:
12,tai-kien-giang,Lumera Beach Phú Quốc: Dự án tổ hợp thương mại du lịch tại Phú Quốc,https://cafeland.vn/du-an/lumera-beach-phu-quoc-du-an-to-hop-thuong-mai-du-lich-tai-phu-quoc-4024.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: đường Trần Hưng Đạo, TP. Phú Quốc, Kiên Giang",Địa chỉ:
13,tai-kien-giang,Park Town Phú Quốc: Dự án nhà phố và biệt thự tại Phú Quốc,https://cafeland.vn/du-an/park-town-phu-quoc-du-an-nha-pho-va-biet-thu-tai-phu-quoc-4014.html,Khu Đô Thị,"Địa chỉ: ấp Búng Gội, TP. Phú Quốc, Kiên Giang",Giá thấp nhất: 7 tỷ
14,tai-kien-giang,Makaio Park: Dự án khu đô thị nghỉ dưỡng tại Phú Quốc,https://cafeland.vn/du-an/makaio-park-du-an-khu-do-thi-nghi-duong-tai-phu-quoc-4011.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: biển Bãi Sao và vịnh Ban Mai, TP. Phú Quốc, Kiên Giang",Địa chỉ:
15,tai-kien-giang,Tiger: Phân khu shophouse tại Meyhomes Capital Phú Quốc,https://cafeland.vn/du-an/tiger-phan-khu-shophouse-tai-meyhomes-capital-phu-quoc-4000.html,Khu Đô Thị,"Địa chỉ: đường ĐT 975, TP. Phú Quốc, Kiên Giang","Giá thấp nhất: 10,92 tỷ"
16,tai-kien-giang,Sunrise Park Villa: Dự án khu nghỉ dưỡng tại Phú Quốc,https://cafeland.vn/du-an/sunrise-park-villa-du-an-khu-nghi-duong-tai-phu-quoc-3990.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Bãi Sao, TP. Phú Quốc, Kiên Giang",Địa chỉ:
17,tai-kien-giang,Paradise Walk: Dự án shophouse tại Phú Quốc,https://cafeland.vn/du-an/paradise-walk-du-an-shophouse-tai-phu-quoc-3935.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: đảo Hòn Thơm, TP. Phú Quốc, Kiên Giang","Giá thấp nhất: 25,20 tỷ"
18,tai-kien-giang,Luxnam – Dự án villa nghỉ dưỡng tại Phú Quốc,https://cafeland.vn/du-an/luxnam-du-an-villa-nghi-duong-tai-phu-quoc-3817.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: ấp Rạch Tràm, TP. Phú Quốc, Kiên Giang",Địa chỉ:
19,tai-kien-giang,New Vegas Hà Tiên: Dự án khu đô thị tại Kiên Giang,https://cafeland.vn/du-an/new-vegas-ha-tien-du-an-khu-do-thi-tai-kien-giang-3773.html,Khu Đô Thị,"Địa chỉ: đường Số 6, TP. Hà Tiên, Kiên Giang",Giá thấp nhất: 6 tỷ
20,tai-kien-giang,Shoptel Ruby: Dãy shopel tại dự án Meyhomes Capital Phú Quốc,https://cafeland.vn/du-an/shoptel-ruby-day-shopel-tai-du-an-meyhomes-capital-phu-quoc-3763.html,Loại Hình Khác,"Địa chỉ: Nằm trên 2 mặt tiền Đại Lộ Bình Minh 36 m, Đường Kim Giao 13,5 m, TP. Phú Quốc, Kiên Giang","Giá thấp nhất: 32,94 tỷ"
21,tai-kien-giang,Shoptel La Cantera: Dãy shopel tại dự án Meyhomes Capital Phú Quốc,https://cafeland.vn/du-an/shoptel-la-cantera-day-shopel-tai-du-an-meyhomes-capital-phu-quoc-3761.html,Loại Hình Khác,"Địa chỉ: Thuộc dự án Meyhomes Capital Phú Quốc, TP. Phú Quốc, Kiên Giang","Giá thấp nhất: 30,71 tỷ"
22,tai-kien-giang,"Starfish Bãi Sao: Dự án shophouse, biệt thự tại Phú Quốc",https://cafeland.vn/du-an/starfish-bai-sao-du-an-shophouse-biet-thu-tai-phu-quoc-3740.html,Khu Đô Thị,"Địa chỉ: Bãi Sao, TP. Phú Quốc, Kiên Giang",Địa chỉ:
23,tai-kien-giang,The Sailing Bay: Phân khu tại Hon Thom Paradise Island,https://cafeland.vn/du-an/the-sailing-bay-phan-khu-tai-hon-thom-paradise-island-3619.html,Khu Đô Thị,"Địa chỉ: bãi Trào, đảo Hòn Thơm, TP. Phú Quốc, Kiên Giang",Địa chỉ:
24,tai-kien-giang,The Santo Port: Phân khu dự án Hòn Thơm Paradise Island,https://cafeland.vn/du-an/the-santo-port-phan-khu-du-an-hon-thom-paradise-island-3618.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Bãi Trào, đảo Hòn Thơm, TP. Phú Quốc, Kiên Giang",Giá thấp nhất: 16 tỷ
25,tai-kien-giang,Enclave Phú Quốc: Dự án khu nghỉ dưỡng phức hợp tại Phú Quốc,https://cafeland.vn/du-an/enclave-phu-quoc-du-an-khu-nghi-duong-phuc-hop-tai-phu-quoc-3601.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Bãi Thơm, TP. Phú Quốc, Kiên Giang",Địa chỉ:
26,tai-kien-giang,Hon Thom Paradise Island: Dự án khu du lịch nghỉ dưỡng tại Phú Quốc,https://cafeland.vn/du-an/hon-thom-paradise-island-du-an-khu-du-lich-nghi-duong-tai-phu-quoc-3541.html,Bất Động Sản Nghỉ Dưỡng,"Địa chỉ: Đảo Hòn Thơm, phía Nam đảo Phú Quốc, TP. Phú Quốc, Kiên Giang","Giá thấp nhất: 31,90 tỷ"
27,tai-kien-giang,Crystal City: Phân khu tại dự án Meyhomes Capital Phú Quốc,https://cafeland.vn/du-an/crystal-city-phan-khu-tai-du-an-meyhomes-capital-phu-quoc-3506.html,Khu Đô Thị,"Địa chỉ: bãi Trường, TP. Phú Quốc, Kiên Giang","Giá thấp nhất: 14,49 tỷ"
28,tai-kien-giang,The Koradise: Phân khu shophouse tại Meyhomes Capital Phú Quốc,https://cafeland.vn/du-an/the-koradise-phan-khu-shophouse-tai-meyhomes-capital-phu-quoc-3485.html,Khu Đô Thị,"Địa chỉ: đường Trần Hưng Đạo, TP. Phú Quốc, Kiên Giang","Giá thấp nhất: 22,48 tỷ"
